1;1;5
2;5;1
3;5;2
4;2;5
5;2;6
6;6;2
7;5;7
8;7;5
9;5;4
10;4;5
11;7;3
12;3;7
13;4;3
14;3;4
15;4;8
16;8;4
17;4;9
18;9;4
19;6;8
20;8;6
21;8;9
22;9;8
23;3;9
24;9;3
25;9;10
26;10;9
27;10;11
28;11;10
29;11;12
30;12;11
31;11;13
32;13;11
33;13;14
34;14;13
35;12;14
36;14;12
37;14;15
38;15;14
39;7;16
40;16;7
41;7;17
42;17;7
43;7;18
44;18;7
45;16;19
46;19;16
47;17;19
48;19;17
49;18;19
50;19;18
51;13;24
52;24;13
53;13;25
54;25;13
55;24;20
56;24;20
57;24;21
58;21;24
59;25;22
60;22;25
61;25;23
62;23;25
63;19;20
64;20;19
65;18;13
66;13;18
67;18;3
68;3;18
69;9;18
70;18;9
71;18;24
72;24;18
73;10;18
74;18;10
