1;41.236649;-8.669168;-0.1513055;0.7197153
2;41.234961;-8.625491;-0.1505432;0.7196858
3;41.179380;-8.624986;-0.1505344;0.7187158
4;41.162458;-8.644864;-0.1508813;0.7184204
5;41.146072;-8.611251;-0.1502947;0.7181344
6;41.150467;-8.598145;-0.1500659;0.7182111
7;41.206905;-8.534450;-0.1489543;0.7191962
8;41.185677;-8.693253;-0.1517259;0.7188257
9;41.154330;-8.646914;-0.1509171;0.7182786
10;41.216714;-8.655898;-0.1510739;0.7193674
11;41.183423;-8.656724;-0.1510883;0.7187863
12;41.161319;-8.616695;-0.1503897;0.7184005
13;41.166496;-8.598928;-0.1500796;0.7184909
14;41.190534;-8.603694;-0.1501628;0.7189104
15;41.240000;-8.561787;-0.1494314;0.7196576
